"Date","Price","Open","High","Low","Vol.","Change %"
"14/05/2024","79.10","80.00","80.00","78.80","1.35M","-1.00%"
"13/05/2024","79.90","80.00","80.00","79.80","404.52K","-0.12%"
"10/05/2024","80.00","80.00","81.00","79.50","1.19M","-0.12%"
"09/05/2024","80.10","78.60","80.20","78.40","520.05K","1.91%"
"08/05/2024","78.60","79.30","79.50","78.50","262.60K","-0.51%"
"07/05/2024","79.00","79.60","80.00","78.80","551.57K","-1.25%"
"06/05/2024","80.00","80.50","80.60","79.50","321.23K","-0.62%"
"03/05/2024","80.50","80.60","81.00","80.10","249.62K","-0.62%"
"02/05/2024","81.00","81.00","81.50","80.20","285.10K","-0.61%"
"30/04/2024","81.50","82.10","82.30","80.50","332.00K","-1.21%"
"29/04/2024","82.50","80.00","82.70","79.40","2.69M","2.61%"
"26/04/2024","80.40","80.20","81.00","79.60","1.57M","0.25%"
"25/04/2024","80.20","77.00","80.40","77.00","708.71K","3.75%"
"24/04/2024","77.30","77.90","78.50","76.90","723.22K","-0.77%"
"22/04/2024","77.90","77.50","78.80","77.30","198.55K","0.26%"
"19/04/2024","77.70","77.40","77.80","76.20","565.22K","0.00%"
"18/04/2024","77.70","79.50","79.50","77.30","826.62K","-1.77%"
"17/04/2024","79.10","79.00","79.60","77.00","848.14K","0.13%"
"16/04/2024","79.00","81.40","81.40","78.80","488.45K","-2.95%"
"15/04/2024","81.40","81.00","82.00","80.00","613.44K","0.49%"
"10/04/2024","81.00","80.20","81.70","80.20","2.71M","0.62%"
"09/04/2024","80.50","81.00","81.40","79.70","1.02M","-0.49%"
"08/04/2024","80.90","78.50","81.70","78.50","5.35M","3.72%"
"05/04/2024","78.00","79.00","79.00","77.70","1.37M","-1.02%"
"04/04/2024","78.80","78.50","79.90","78.10","3.60M","0.38%"
"03/04/2024","78.50","78.50","78.50","77.80","1.24M","0.38%"
"02/04/2024","78.20","77.80","79.40","77.80","935.40K","0.51%"
"01/04/2024","77.80","75.50","78.50","75.20","1.54M","-3.23%"
"28/03/2024","80.40","80.00","80.90","79.80","2.08M","0.63%"
"27/03/2024","79.90","79.10","80.00","79.00","1.00M","1.27%"
"26/03/2024","78.90","77.70","78.90","77.70","4.03M","1.28%"
"25/03/2024","77.90","77.00","77.90","77.00","243.98K","1.17%"
"22/03/2024","77.00","78.00","78.00","76.00","589.34K","-0.90%"
"21/03/2024","77.70","77.90","78.20","77.50","264.17K","-0.38%"
"20/03/2024","78.00","77.80","78.10","77.50","1.58M","0.26%"
"19/03/2024","77.80","77.50","78.00","77.20","381.96K","0.39%"
"18/03/2024","77.50","78.00","78.10","76.50","499.25K","-0.64%"
"15/03/2024","78.00","78.00","78.40","77.80","894.30K","0.39%"
"14/03/2024","77.70","77.00","78.50","77.00","1.05M","0.91%"
"13/03/2024","77.00","76.00","77.70","76.00","926.27K","1.18%"
"12/03/2024","76.10","74.60","76.10","74.60","444.73K","1.47%"
"11/03/2024","75.00","74.10","75.00","74.10","447.46K","1.21%"
"07/03/2024","74.10","73.00","74.10","72.80","629.29K","1.51%"
"06/03/2024","73.00","73.00","73.00","72.70","97.88K","0.27%"
"05/03/2024","72.80","73.00","73.00","72.60","164.46K","-0.14%"
"04/03/2024","72.90","73.40","73.40","72.50","458.87K","0.41%"
"01/03/2024","72.60","73.50","73.50","72.60","263.25K","-1.49%"
"29/02/2024","73.70","73.50","73.80","73.00","165.37K","0.27%"
"28/02/2024","73.50","73.70","74.00","73.30","543.41K","-0.27%"
"27/02/2024","73.70","73.00","73.70","73.00","330.70K","0.68%"
"26/02/2024","73.20","72.50","73.30","72.50","324.29K","0.97%"
"22/02/2024","72.50","72.70","72.90","72.40","369.28K","-0.41%"
"21/02/2024","72.80","72.80","73.00","72.50","304.57K","-0.27%"
"20/02/2024","73.00","73.00","73.10","72.80","243.71K","0.27%"
"19/02/2024","72.80","73.10","73.30","72.80","145.06K","-0.68%"
"16/02/2024","73.30","73.10","73.50","72.80","576.24K","0.27%"
"15/02/2024","73.10","73.00","73.80","72.80","1.66M","1.11%"
"14/02/2024","72.30","72.20","72.50","72.00","128.44K","0.42%"
"13/02/2024","72.00","72.60","72.70","71.80","801.58K","-0.96%"
"12/02/2024","72.70","72.90","73.00","72.70","286.95K","0.28%"
"09/02/2024","72.50","72.00","73.00","72.00","620.03K","0.69%"
"08/02/2024","72.00","72.20","72.40","71.90","1.29M","0.00%"
"07/02/2024","72.00","72.00","72.00","71.60","887.20K","0.14%"
"06/02/2024","71.90","71.40","72.00","71.00","1.13M","1.27%"
"02/02/2024","71.00","70.40","71.40","70.00","1.02M","1.00%"
"01/02/2024","70.30","68.30","70.30","68.20","1.35M","3.23%"
"31/01/2024","68.10","68.00","68.50","67.90","918.82K","0.15%"
"30/01/2024","68.00","67.50","68.30","67.50","2.92M","0.74%"
"29/01/2024","67.50","68.00","68.50","67.50","184.12K","-0.44%"
"26/01/2024","67.80","67.00","68.50","67.00","2.15M","1.19%"
"24/01/2024","67.00","67.00","67.90","67.00","768.85K","1.52%"
"23/01/2024","66.00","66.90","67.00","66.00","300.76K","-1.35%"
"22/01/2024","66.90","67.50","67.80","66.80","146.48K","-1.33%"
"19/01/2024","67.80","68.00","68.00","67.40","148.11K","-0.29%"
"18/01/2024","68.00","68.00","68.50","67.50","228.56K","0.00%"
"17/01/2024","68.00","68.70","68.70","67.90","231.76K","-0.58%"
"16/01/2024","68.40","69.10","69.90","68.00","390.96K","-1.58%"
"12/01/2024","69.50","69.00","70.00","69.00","437.71K","0.00%"
"11/01/2024","69.50","70.10","70.10","69.00","379.24K","-0.86%"
"10/01/2024","70.10","70.20","70.90","69.50","548.50K","-0.28%"
"09/01/2024","70.30","70.30","70.80","70.20","79.48K","-0.14%"
"08/01/2024","70.40","70.50","71.00","70.30","98.05K","-0.14%"
"05/01/2024","70.50","70.90","70.90","70.30","150.95K","0.00%"
"04/01/2024","70.50","71.20","71.40","70.20","209.14K","-0.56%"
"03/01/2024","70.90","70.50","71.50","70.50","1.18M","0.28%"
"02/01/2024","70.70","71.00","71.00","70.10","211.63K","0.28%"
